Gauntlet Legends	Minority Report: Everybody Runs	Card Hog	Lair	Block Kuzushi	Car Battler Joe	Darkwing Duck	 Flashback - The Quest for Identity	Yonder: The Cloud Catcher Chronicles	Dragonball, Revenge of king Piccolo	Elite Beat Agents	Etrian Odyssey 4: Legends Of The Titan	Ninja gaiden 3	Half-Minute Hero	Nidhogg	DYNAMITE DAN 1	Cybercon III	Castle of Illusion Starring Mickey Mouse	Champions: Return to Arms	Silent Debuggers	Flip Shot	King’s Quest	Chu Chu Rocket	Bust-A-Move	Crimson Skies: High Road to Revenge	Ninety-Nine Nights		Equites
Goemon’s Great Adventure	Odama	Crop Rotation	MAG	Boktai	castlevania arya of sorrow	Déjà Vu	 Gradius III	Rime	Eledees	Ever Oasis	Ever Oasis	Nintendo Land	Hammerin Hero	Organ Trail	DYNAMITE DAN 2	Historyline 1914-1918	Castlevania Bloodlines	Cold Fear	Soldier Blade	Galaxy Fight – Universal Warriors	Laser Ghost	Confidential Mission	Buster Bros Collection	Dead or Alive 3	Phantasy Star Universe		Explosive Breaker
Harvest Moon 64	P.N.03	Crosscode	Magus	Booby Boys	Chu Chu Rocket	Double Dragon II: The Revenge	 Illusion of Gaia	Oxenfree	Emergency Heroes	Flower, Sun, and Rain	Fantasy Life	Pacman and the Ghostly adventures	Hexyz Force	Phantom Breaker  Battlegrounds 	Exolon	Thunderhawk AH-73M	Championship ProAm	Cold Winter	Somer Assault/Mesopotamia	Ghost Pilots	Lemmings	Cool Cool Toon	Carnage Heart	Destroy All Humans!	Project Sylpheed		Fast Lane
Hybrid Heaven	Red Card soccer	Curse of the Dead Gods	Mars: War Logs	Boulder Dash	Colin McRae Rally 2.0	Dragon Warrior III	 International Superstar Soccer	Wizard Of Legend	ExciteBots	Freshly-Picked Tingle's Rosy Rupeeland	Final Fantasy Explorers	Pushmo World	Holy Invasion of Privacy Badman What Did I Do to Deserve This	Pic-a-Pix Color	ERIC AND THE FLOATERS	Escape from Colditz	Combat Cars	Contra Shattered Soldier	Splash Lake	Goal Goal Goal	Master of Darkness	Cosmic Smash	Civilization II	Destroy All Humans! 2	Risen		Fever S.O.S.
Hydro Thunder	Sega Soccer Slam	Dark Envoy	ModNation Racers	bubble bobble 2	crash bandicoot xs	Dragon Warrior IV	 Joe & Mac 2 - Lost in the Tropics	Owlboy	FlingSmash	Ghost Trick: Phantom Detective	Ghost Recon: Shadow Wars	Run Bo Deluxe	Initial D - Street Stage	PixelJunk Shooter Ultimate 	Everyone's Wally	Corporation	Comix Zone	Crimson Sea 2	Splatterhouse	Gururin	Masters of Combat	Crazy Taxi	Colin McRae Rally	Deus Ex: Invisible War	Shadowrun		Finest Hour
Indiana Jones and the Infernal Machine	Serious Sam	Decimate Drive	Motorstorm Apocalypse	Bubble Ghost	Crash nitro cart	Duck Hunt	 Jungle Strike	Sayonara Wild Hearts	Flips	Grand Theft Auto: Chinatown Wars	HarmoKnight	Runbow	Jeanne dArc	RESOGUN	Fairlight	Sabre Team	Contra: Hardcore	Crimson Tears	Street Fighter 2	Iron Clad / Chotetsu Bri’kinger (Neo-Geo CD)	Miracle Warriors	Crazy Taxi 2	Cotton Original/Cotton 100%	Doom 3	Splatterhouse		Fire Trap
Jet Force Gemini	Smashing Drive	Devil Blade Reboot	Nier	Bugs Bunny in Crazy Castle Series	Crazy Chase	DuckTales	 Ken Griffey Jr.'s Winning Run	Untitled Goose Game	Generator Rex: Agent of Providence	Hotel Dusk: Room 215	Heroes of Ruin	Snoopys Grand Adventure	Knights in the Nightmare	Retro City Rampage DX	FAT WORM BLOWS A SPARKY	Lamborghini American Challenge	Cool Spot	Darkwatch	Strider	Irritating Maze (Ultra Denryu Iraira Bou)	Ninja Gaiden	Dave Mirra Freestyle BMX	Cyberbots	Dreamfall: The Longest Journey	Tales of Vesperia		G-Stream 2020
LEGO Racers	Ssx tricky	dirt 2	No More Heroes: Heroes’ Paradise	Space Marauder	Dave Mirra Freestyle BMX	DuckTales 2	 Killer Instinct	Spiritfarer	Ghost Squad	Infinite Space	Ironfall Invasion	Starfox guard	Legend of Heroes The - Trails in the Sky	Reverie	Finders keepers	The Lost Treasures of Infocom	Crusader of Centy	Destroy All Humans! 2	Super Star Soldier	Joy Joy Kid (Puzzled)	Penguin Land	Daytona USA 2001	Darkstalkers 3	Dungeons & Dragons: Heroes	Tenchu Z		Gaia Crusaders
Lode Runner 3D	True crime NY	dirt showdown	PlayStation All-Stars: Battle Royale	Burai Fighter Deluxe	Defender of the Crown	EarthBound Beginnings	Faxanadu	Gris	Godzilla: Unleashed	Izuna	Kingdom Hearts Dream Drop Distance	Tank tank	Lemmings	Riddled Corpses EX	Firefly	Bloodwych	Cyborg Justice	Deus Ex: The Conspiracy	Syd Mead’s Terraforming	King of Fighters Series	Power Strike (Aleste)	Dead or Alive 2	Darkstone	Fable	Too Human		Galactic Storm
Mace: The Dark Age	Vexx	Echo Generation	Puppeteer	Cannon Fodder	Demikids	Faxanadu	 Lion King,	Slay The Spire	Gormiti: The Lords of Nature!	Kururin Donuts	Langrisser Re Incarnation Tensei	The Wonderful 101	LocoRoco 2	Saturday Morning RPG	FOOTBALLER OF THE YEAR 1 & 2	Deuteros: The Next Millennium	Dangerous Seed	Devil Summoner	Time Cruise	Kizuna Encounter	Power Strike II	Deep Fighter	Dead or Alive	Far Cry	Viking: Battle For Asgard		Galaga
Magical Tetris Challenge	Viewtiful Joe: Red Hot Rumble	En Garde!	Resonance Of Fate	Cat Trap / Pitman	Denki Blocks	Galaga	 Lost Vikings	Cadence Of Hyrule: Crypt Of The NecroDancer	Heavy Fire: Afghanistan	Legend of Kage 2	LBX	Tokyo Mirage Sessions	Lumines II	Sayonara UmiharaKawase 	FORMULA ONE	Gem’X	Dick Tracy	Disaster Report	Vasteel	Last Blade Series	Psycho Fox	Ecco The Dolphin: Defender of the Future	Destrega	Fatal Frame			Ganryu
Mickey’s Speedway USA	Yu Gi Oh Falsebound Kingdom	Ereban: Shadow Legacy	Singularity	Cave Noire	Desert Strike Advance	Gargoyle's Quest II: The Demon Darkness	 Lufia II - Rise of the Sinistrals	Night In The Woods	Hidden Mysteries: Titanic	Life signs	Legend of Legacy	Type	Lumines - Puzzle Fusion	Severed	GHOULS ‘N’ GHOSTS	Fly Harder	Disney's Aladdin	DoDonPachi Dai-Ou-Jou	World Heroes	Last Resort	Putt & Putter / Minigolf	Elemental Gimmick Gear	Devil Dice	Ehrgeiz			Gigandes
Mischief Makers	Monsters Inc. Scream Arena	Evil Tonight	Spec Ops: The Line	Chalvo 55 Super Puzzle Action	Disney’s Lilo & Stitch	Gem Smashers	 Madden NFL '94	Shovel Knight: Treasure Trove	Hollow Knight	Madworld	Line Rider Freestyle	Vector wars	Macross Ace Frontier	Shinobido 2 Revenge of Zen 	GRAND NATIONAL	Flood	Disney's Lion King	Dog’s Life	Ys Book 1	League Bowling	Quartet	Evolution 2: Far Off Promise	DoDonPachi	Freedom Fighters			Grand Cross Pinball
Monaco Grand Prix	I-ninja	Firewatch	The Eye of Judgment	Chikyuu Kaihou Gun ZAS	Double Dragon Advance	Gremlins 2: The New Batch	 Magical Quest Starring Mickey Mouse	CrossCode	Hot Wheels: Track Attack!?	Lost in Blue	Lord of Magna Maiden Heaven	Xenoblade Chronicles X	OutRun 2006 - Coast 2 Coast	Sorcery SagaCurse of the Great Curry God	Green Beret	Damocles: Mercenary II	Donald in Maui Mallard	DogStation	Ys Book 2	Magical Drop 3	Rainbow Islands	Evolution: The World of Sacred Device	DonPachi	Fusion Frenzy			Guardian Storm
Ms. Pac-Man Maze Madness	Hello Kitty Roller Rescue	Flathead	The Legend of Heroes: Trails of Cold Steel	Chrono Trigger	Dragon Ball Z: Buu's Fury	Gun Smoke	 Metal Warriors	Cuphead	Ice Age: Dawn of the Dinosaurs	LostMagic	MH 4U & MH Generations	Zen Pinball	Parodius Portable	Superfrog HD	Head over Heels	Virocop	Double Dragon	Dr. Muto		Magician Lord	Rampage	F355 Challenge Passione Rossa	Driver	Futurama			Guardians
Mystical Ninja Starring Goemon		Freakhunter	The Saboteur	Crayon Shin-Chan 4	Dragon Ball Z: The Legacy of Goku II	Gun-Nac	 Mortal Kombat II	Hades	Ivy The Kiwi?	Lufia: Curse of the Sinistrals	Moco Moco Friends	Zombie R	Patapon 3	Super Stardust Delta	Hydrofool	Legend	Dr. Robotniks Mean Bean Machine	Drakan: The Ancient’s Gates		Matrimelee	Rescue Mission	Fatal Fury: Mark of the Wolves	Dynasty Warriors	Galleon			Gun Master
NBA Hangtime		Frogmonster	Tokyo Jungle	Crystalis	Drill Dozer	Ikari Warriors	 NBA Jam	Animal Well	Kamen Rider Dragon Knight	Luminous Arc 1 & 2	Nano Assault		Prinny - Can I Really Be the Hero	Surge Deluxe	Ivan Ironman's Super offroad	Jetstrike	Dragon Ball Z: Bu Yu Retsuden	Drakengard		Metal Slug Series	Road Rash	Fighting Vipers 2	Echo Night	Genma Onimusha (Onimusha Warlords)			Gunball
Ogre Battle 64: Person of Lordly Caliber		Go Mecha Ball	Valkyria Chronicles	Dead Heat Scramble	Egg Mania	Jackal	 NHL '94	Undertale	Kid Adventures: Sky Captain	Magician’s Quest: Mysterious Times	Okami		Pursuit Force	Table Top Racing	Jack The Nipper In Coconut Capers	Nitro	Dynamite Hedy	DreamMix TV: World Fighters		Money Puzzle Exchanger	Sagaia (Darius II)	Fire Pro Wrestling D	Frame Gride	Grabbed by the Ghoulies			Gunbarich
Pilotwings 64		Gravity Circuit	Vanquish	Dexter’s Laboratory: Robot Rampage	Final Fantasy Games	Jurassic Park	 Ogre Battle The March of the Black Queen	Celeste	Kororinpa Marble Mania	Mazes of fate	Persona Q 1 & 2		Rengoku II - The Stairway to H.E.A.V.E.N.	Tearaway	JOE BLADE III	Space Crusade	Dune: The Battle for Arrakis	Dynamite Headdy		Neo Bomberman	Scramble Spirits	Floigan Brothers	Einhander	Guilty Gear X			Gundhara
Quest 64		HROT	Yakuza 5	Dexterity	Final Fight One	Kabuki Quantum Fighter	 Out of this World	 Legend of the Mystical Ninja	Let's Tap	Mech assault	Phoenix Wright & Prof Layton Games		Riviera - The Promised Land	Neverland Card Battles	The Binding of Isaac - Rebirth	JUMPING JACK	Earthworm Jim	Dynasty Tactics		Neo Mr Do	NAM 1975	Solomon’s Key	Elemental Gearbolt	Gun			Gunnail
Ridge Racer 64		Huntdown		Disney’s Tarzan	Flame of Recca	Klax	 Pilotwings		Lost in Shadow	Meteos	Picross 3D		R-Type Tactics	The Long Reach	KARNOV	Ruff ‘n’ Tumble	Ecco The Dolphin	Enthusia: Professional Racing		Neo Turfmasters	Spellcaster	Fur Fighters	Exhumed/Poweslave	GunValkyrie			Heavy Smash
Road Rash 64		immortals fenyx		Disney’s The Jungle Book: Mowgli’s Wild Adventure	Frogger's adventures: Temple of the frog	Krusty’s Fun House	 Pocky & Rocky 2		Manhunt II	Might & Magic Clash Of Heroes	Picross 3D: Round 2		Split-Second	The Swapper	KNIGHT TYME	Yo! Joe!	Elemental Master	Escape From Monkey Island		Nightmare in the Dark	The Ninja (Sega Ninja)	Giant Gram 2000: All Japan Pro Wrestling 3	Final Fantasy Tactics	Half-Life 2			Hot Chase
Robotron 64		Kena		Disney’s The Lion King: Simba’s Mighty Adventure	Frogger's adventures: The lost wand	Legacy of the Wizard	 Populous		Marble saga kororimpa	Monster Tale	Pocket Card Jockey		Tactics Ogre - Let Us Cling Together	Titan Souls	KRAKOUT	Paradroid 90	Eliminate Down	ESPGaluda		Ninja Commando	Time Soldiers	Giant Gram: All Japan ProWrestling 2	Frogger 2: Swampys Revenge	Headhunter: Redemption			Hyper Duel
Rush 2049		Kingsvein		Donald Duck: Goin’ Quackers	Game and Watch Gallery 4	Life Force	 R-Type III		Marbles Balance Challenge	Nanostray 1 & 2	Project X Zone		Taito Legends Power-Up	TxK	M.O.V.I.E.	King’s Bounty	Eternal Champions	Eternal Poison		Ninja Masters	Ultima IV:	GigaWing	Future Cop: LAPD	I-Ninja			I, Robot
S.C.A.R.S.		Library Of Ruina		Dr. Franken 1 & 2	Gekido advance	Little Nemo: The Dream Master	 Rock n' Roll Racing		Medal of Honor: Heroes 2	Nine Hours, Nine Persons, Nine Doors	Pushmo		Tales of Eternia	Velocity2X	MAKE A CHIP	Banshee	Faery Tale Adventure	Everblue 2		Overtop	Zillion	GigaWing 2	G-Darius	Indiana Jones and the Emperor’s Tomb			Ichidant-R
San Francisco Rush 2049		manifold garden		DragonHeart	Genseijin Justirisers	Little Samson	 Secret of Mana		Monster 4x4: Stunt Racer	Ninja Gaiden Dual Sword	Radiant Historia Perfect Chronology		Tales of the World - Radiant Mythology	Volume	MATCH POINT	Odyssey	Fire Shark	FantaVision		Panic Bomber		Grandia 2	G-Police: Weapons of Justice	Indigo Prophecy			In the Hunt
Shadow Man		Mining Mechs		Dropzone/Dropzone Color	Ghost Rider	Magic of Scheherazade	 Shadowrun		Monster lab	Nostalgia	Rhythm Heaven Megamix		Tenchu - Shadow Assassins	WantedCorp.	Minder	Super Tennis Champs	Flashback: The Quest for Identity	Fire Pro Wrestling Returns		Prehistoric Isle 2		Guilty Gear X	Galerians	Jade Empire			Juno First
Shiren the Wanderer 2		Mo: Astray		Elevator Action	Go! Go! Beckham Adventure on Soccer Island	Magic of Scheherazade	 SimCity		Muramasha the Demon Blade	Okamiden	Rune Factory 4		Tokobot		MY NAME IS UNCLE GROUCHO	Roadkill	Forgotten Worlds	Flipnic		Pulstar		Gunbird 2	Gamera 2000	Jet Set Radio Future			Kingdom Grand Prix
Snowboard Kids		Narita Boy		Fastest Lap	Godzilla: Domination	Monster Party	 Soul Blazer		Mushroom Men the Spore Wars	Ontomarama	Sadame		Ultimate Ghosts n Goblins		OVERLANDER	Qwak	Gain Ground	Flower, Sun, and Rain		Rage of the Dragons		Gundam Side Story: 0079	Geikido	Judge Dredd: Dredd vs. Death			Koutetso Yousai Strahl
Snowboard Kids 2		Nidus		Fighting Simulator 2-in-1: Flying Warriors	Golden sun	Mr. Gimmick	 Sparkster		MX vs ATV Untamed	Picross DS	Sega 3D Classics		Umihara Kawase Portable		Quazatron	Dynablaster	Garfield: Caught in the Act	Freedom Fighters		Samurai Shodown Series		Headhunter	Ghost In The Shell	Kung Fu Chaos			Kyukyoku Sentai Dadandarn (Monster Maulers)
Space Station Silicon Valley		offroad mechanic simulator		Flipull	Goodboy Galaxy	Ninja Gaiden	 Spider-Man - Venom		Need For Speed Nitro	Point Blank DS	Shantae and the Pirate's Curse		Valkyria Chronicles II		PIPPO	No Second Prize	Gauntlet IV	Frequency		Savage Reign		Heavy Metal: Geomatrix	Gradius Gaiden	Mace Griffin: Bounty Hunter			Lethal Crash Racer
